width,total_mean,total_min,total_max,explained_mean,unexplained_mean,n_errors,n_params
8,45.666666666666664,41,54,23.0,34.666666666666664,0,209
16,54.666666666666664,50,62,37.0,41.0,0,673
32,69.66666666666667,61,76,50.0,57.333333333333336,0,2369
64,89.0,85,96,68.66666666666667,82.66666666666667,0,8833
128,96.66666666666667,89,105,76.66666666666667,88.33333333333333,0,34049
256,94.33333333333333,87,99,74.66666666666667,84.0,0,133633
512,85.0,81,90,67.33333333333333,74.66666666666667,0,529409
768,86.33333333333333,80,96,70.66666666666667,74.33333333333333,0,1187329
