arch,total_flips,explained_flips,unexplained_flips,n_subsets,n_errors,n_params,n_layers
2,65,44,34,139,0,17,1
4,104,71,75,139,0,33,1
8,29,12,20,139,0,65,1
8-4,42,22,31,139,0,97,2
16,61,30,41,139,0,129,1
16-8,44,21,39,139,0,257,2
32,37,18,27,139,0,257,1
32-16,62,42,49,139,0,769,2
32-16-8-4,61,45,52,139,0,929,4
64-32,66,43,59,139,0,2561,2
64-32-16-8,107,105,102,139,0,3201,4
128-64-32,82,61,70,139,0,11265,3
