max_depth,total_flips,explained_flips,unexplained_flips,n_subsets,n_errors
1,26,8,21,139,0
2,31,15,24,139,0
3,62,33,47,139,0
4,94,63,73,139,0
5,128,104,113,139,0
6,137,130,126,139,0
7,137,134,132,139,0
8,137,135,133,139,0
9,138,136,134,139,0
10,138,137,133,139,0
