setting,subset,n,difference,explained_menref,explained_womenref,unexplained_menref,unexplained_womenref,explained_flip,unexplained_flip,any_flip,error,max_depth
depth 1,Random 30% #18,1028,0.008237689744539,0.0064279360628401,0.0180163597850856,0.0018097536816988,-0.0097786700405465,False,True,True,,1
depth 1,Random 30% #19,1028,0.0066883064376393,-0.000260098496573,0.0176558418211053,0.0069484049342123,-0.0109675353834659,True,True,True,,1
depth 1,Random 30% #20,1028,-0.0099963316214233,0.0087414722722028,0.0147444930150339,-0.0187378038936261,-0.0247408246364572,False,False,False,,1
depth 1,Random 30% #21,1028,0.002277451699682,0.0072956146866194,0.0032115921804237,-0.0050181629869373,-0.0009341404807416,False,False,False,,1
depth 1,Random 30% #22,1028,0.0271739130434782,0.0136424768507932,0.017682682149841,0.013531436192685,0.0094912308936371,False,False,False,,1
depth 1,Random 30% #23,1028,0.0053719593676173,0.0159947703164604,0.01386531118668,-0.010622810948843,-0.0084933518190626,False,False,False,,1
depth 1,Random 30% #24,1028,0.0374355138753044,0.0088266367382611,0.0079784387223898,0.0286088771370432,0.0294570751529145,False,False,False,,1
depth 1,Random 30% #25,1028,0.0207335170659317,0.0091618476675736,0.0287945247587556,0.0115716693983581,-0.0080610076928239,False,True,True,,1
depth 1,Random 30% #26,1028,0.000322640117994,0.014360780841838,0.0014932010818003,-0.0140381407238439,-0.0011705609638062,False,False,False,,1
depth 1,Random 30% #27,1028,-0.0133699862551543,0.0173471119668179,0.0193791029551574,-0.0307170982219722,-0.0327490892103117,False,False,False,,1
depth 1,Random 30% #28,1028,0.0048546691403834,0.0053248122972064,0.015395745736617,-0.000470143156823,-0.0105410765962336,False,False,False,,1
depth 1,Random 30% #29,1028,0.0132264436461088,0.0044547476832631,0.0034414475824249,0.0087716959628457,0.0097849960636839,False,False,False,,1
depth 1,Random 30% #30,1028,0.0073191060456281,0.0141233512729068,0.0091733049918924,-0.0068042452272787,-0.0018541989462642,False,False,False,,1
depth 1,Random 30% #31,1028,0.0186572318838355,0.0174562091072843,0.0206974707768643,0.0012010227765511,-0.0020402388930287,False,True,True,,1
depth 1,Random 30% #32,1028,0.0146773132638857,0.0230224090797928,0.0186406749254443,-0.008345095815907,-0.0039633616615586,False,False,False,,1
depth 1,Random 30% #33,1028,0.0107989019115876,0.0078593994629876,0.012405877195138,0.0029395024485999,-0.0016069752835504,False,True,True,,1
depth 1,Random 30% #34,1028,0.0036708111308466,0.0099137218683393,0.0248692511234904,-0.0062429107374926,-0.0211984399926438,False,False,False,,1
depth 1,Random 30% #35,1028,-0.0021279853031231,0.0140128163912259,0.0227139980459799,-0.016140801694349,-0.024841983349103,False,False,False,,1
depth 1,Random 30% #36,1028,-0.0048226599270606,0.0085961287356793,0.0199663145390344,-0.01341878866274,-0.024788974466095,False,False,False,,1
depth 1,Random 30% #37,1028,-0.0037446257685728,0.017042934777244,0.0168955254787925,-0.0207875605458169,-0.0206401512473654,False,False,False,,1
depth 1,Random 30% #38,1028,0.0108722741433021,0.0094865388078528,0.0336400562153426,0.0013857353354493,-0.0227677820720405,False,True,True,,1
depth 1,Random 30% #39,1028,0.0380230468256006,0.0061280798004058,0.0118842407213644,0.0318949670251948,0.0261388061042361,False,False,False,,1
depth 1,Random 30% #40,1028,-0.0156995008383602,0.0145372487823165,0.0102722820221009,-0.0302367496206768,-0.0259717828604612,False,False,False,,1
depth 1,Random 30% #41,1028,0.0003191021554961,0.0126469344497105,0.0075446940423976,-0.0123278322942144,-0.0072255918869015,False,False,False,,1
depth 1,Random 30% #42,1028,0.0039796984507742,0.0105975656445159,0.0246730330445414,-0.0066178671937417,-0.0206933345937672,False,False,False,,1
depth 1,Random 30% #43,1028,0.0320665445665445,0.0194206673806016,0.0268194093875546,0.0126458771859428,0.0052471351789899,False,False,False,,1
depth 1,Random 30% #44,1028,0.014617494198646,0.0181893384504301,0.023191092650149,-0.0035718442517841,-0.008573598451503,False,False,False,,1
depth 1,Random 30% #45,1028,-0.010677190889205,0.0148784675776193,0.0086272610345317,-0.0255556584668243,-0.0193044519237367,False,False,False,,1
depth 1,Random 30% #46,1028,-0.0211341559464426,0.0118625845063754,0.0139186481149839,-0.0329967404528181,-0.0350528040614265,False,False,False,,1
depth 1,Random 30% #47,1028,0.0021068472535741,0.0194722013079507,0.0262370142180324,-0.0173653540543766,-0.0241301669644582,False,False,False,,1
depth 1,Random 30% #48,1028,0.0099373113536103,0.0215761809939804,0.0222754180909676,-0.01163886964037,-0.0123381067373573,False,False,False,,1
depth 1,Random 30% #49,1028,-0.0033935788911766,0.0155182544779863,0.0109022615584545,-0.018911833369163,-0.0142958404496312,False,False,False,,1
depth 1,Random 30% #50,1028,-0.0149638584774062,0.0227814336386987,0.0199653330159506,-0.037745292116105,-0.0349291914933569,False,False,False,,1
depth 2,All Patients,3429,0.0078818040435458,0.0142145590213078,0.0201928910688753,-0.0063327549777619,-0.0123110870253294,False,False,False,,2
depth 2,ICUType 1.0,490,0.0294939989088925,0.052883199378312,0.037079959194756,-0.0233892004694195,-0.0075859602858634,False,False,False,,2
depth 2,ICUType 2.0,643,-0.000975689080413,0.0043308432029575,0.003293376003481,-0.0053065322833705,-0.0042690650838941,False,False,False,,2
depth 2,ICUType 3.0,1357,-0.0217764843549488,0.003365795560976,-0.0005710932808652,-0.0251422799159249,-0.0212053910740836,True,False,True,,2
depth 2,ICUType 4.0,939,0.0202084035501629,0.0264493646262472,0.0332679773420648,-0.0062409610760843,-0.0130595737919018,False,False,False,,2
