depth,total_mean,total_min,total_max,explained_mean,unexplained_mean,n_errors,n_params
1,32.666666666666664,30,37,12.333333333333334,26.0,0,257
2,57.0,49,65,33.666666666666664,45.666666666666664,0,1313
3,69.66666666666667,61,76,50.0,57.333333333333336,0,2369
4,75.66666666666667,69,88,55.333333333333336,63.666666666666664,0,3425
6,70.66666666666667,61,76,54.0,59.333333333333336,0,5537
8,69.0,62,74,52.333333333333336,52.333333333333336,0,7649
12,69.66666666666667,57,76,53.0,59.666666666666664,0,11873
16,65.33333333333333,57,78,51.0,52.666666666666664,0,16097
