n_estimators,total_flips,explained_flips,unexplained_flips,n_subsets,n_errors
10,27,14,16,139,0
25,23,9,17,139,0
50,26,10,19,139,0
100,31,12,22,139,0
250,62,33,47,139,0
500,91,61,72,139,0
1000,122,98,104,139,0
2000,133,126,123,139,0
4000,135,131,125,139,0
10000,137,134,127,139,0
